from,to,realtion,weight
TH,OS,1,3
TH,CV,1,2
TH,WP,1,2
TH,RA,1,2
TH,BG,1,2
TH,HJ,1,2
TH,FR,1,2
TH,BS,1,2
TH,VB,2,3
TH,MB,3,2
TH,ME,3,1
TH,JA,3,1
TH,ST,3,1
TH,DA,NA,NA
TH,AL,3,1
TH,DM,NA,NA
TH,GB,5,1
TH,VZ,5,1
TH,FM,5,1
TH,JK,5,1
TH,TB,5,1
TH,KC,NA,NA
TH,PF,NA,NA
TH,RB,NA,NA
OS,TH,1,3
OS,CV,1,2
OS,WP,1,2
OS,RA,1,2
OS,BG,1,2
OS,HJ,1,2
OS,FR,1,2
OS,BS,1,2
OS,VB,2,3
OS,MB,3,2
OS,ME,3,1
OS,JA,3,1
OS,ST,3,1
OS,DA,NA,NA
OS,AL,3,1
OS,DM,NA,NA
OS,GB,NA,NA
OS,VZ,NA,NA
OS,FM,NA,NA
OS,JK,NA,NA
OS,TB,NA,NA
OS,KC,8,2
OS,PF,NA,NA
OS,RB,NA,NA
CV,TH,1,2
CV,OS,1,2
CV,WP,1,3
CV,RA,1,3
CV,BG,1,3
CV,HJ,1,3
CV,FR,1,3
CV,BS,1,3
CV,VB,2,3
CV,MB,3,2
CV,ME,3,1
CV,JA,3,1
CV,ST,3,1
CV,DA,NA,NA
CV,AL,3,1
CV,DM,NA,NA
CV,GB,5,2
CV,VZ,5,2
CV,FM,5,2
CV,JK,5,2
CV,TB,5,2
CV,KC,NA,NA
CV,PF,7,3
CV,RB,NA,NA
WP,TH,1,2
WP,OS,1,2
WP,CV,1,3
WP,RA,1,3
WP,BG,1,3
WP,HJ,1,3
WP,FR,1,3
WP,BS,1,3
WP,VB,2,3
WP,MB,3,2
WP,ME,3,1
WP,JA,3,1
WP,ST,3,1
WP,DA,2,3
WP,AL,3,1
WP,DM,NA,NA
WP,GB,NA,NA
WP,VZ,NA,NA
WP,FM,NA,NA
WP,JK,NA,NA
WP,TB,NA,NA
WP,KC,NA,NA
WP,PF,NA,NA
WP,RB,NA,NA
RA,TH,1,2
RA,OS,1,2
RA,CV,1,3
RA,WP,1,3
RA,BG,1,3
RA,HJ,1,3
RA,FR,1,3
RA,BS,1,3
RA,VB,2,3
RA,MB,3,2
RA,ME,3,1
RA,JA,3,1
RA,ST,3,1
RA,DA,NA,NA
RA,AL,3,1
RA,DM,NA,NA
RA,GB,NA,NA
RA,VZ,NA,NA
RA,FM,NA,NA
RA,JK,NA,NA
RA,TB,NA,NA
RA,KC,NA,NA
RA,PF,NA,NA
RA,RB,NA,NA
BG ,TH,1,2
BG ,OS,1,2
BG ,CV,1,3
BG ,WP,1,3
BG ,RA,1,3
BG ,HJ,1,3
BG ,FR,1,3
BG ,BS,1,3
BG ,VB,2,3
BG ,MB,3,2
BG ,ME,3,1
BG ,JA,3,1
BG ,ST,3,1
BG ,DA,NA,NA
BG ,AL,3,1
BG ,DM,NA,NA
BG ,GB,NA,NA
BG ,VZ,NA,NA
BG ,FM,NA,NA
BG ,JK,NA,NA
BG ,TB,NA,NA
BG ,KC,NA,NA
BG ,PF,NA,NA
BG ,RB,NA,NA
HJ,TH,1,2
HJ ,OS,1,2
HJ,CV,1,3
HJ,WP,1,3
HJ,RA,1,3
HJ,BG,1,3
HJ,FR,1,3
HJ,BS,1,3
HJ,VB,2,3
HJ,MB,3,2
HJ,ME,3,1
HJ,JA,3,1
HJ,ST,3,1
HJ,DA,NA,NA
HJ,AL,2,3
HJ,DM,NA,NA
HJ,GB,NA,NA
HJ,VZ,NA,NA
HJ,FM,NA,NA
HJ,JK,NA,NA
HJ,TB,NA,NA
HJ,KC,NA,NA
HJ,PF,NA,NA
HJ,RB,NA,NA
FR,TH,1,2
FR,OS,1,2
FR,CV,1,3
FR,WP,1,3
FR,RA,1,3
FR,BG,1,3
FR,HJ,1,3
FR,BS,1,3
FR,VB,2,3
FR,MB,3,2
FR,ME,3,1
FR,JA,3,1
FR,ST,3,1
FR,DA,NA,NA
FR,AL,3,1
FR,DM,2,3
FR,GB,NA,NA
FR,VZ,NA,NA
FR,FM,NA,NA
FR,JK,NA,NA
FR,TB,NA,NA
FR,KC,NA,NA
FR,PF,NA,NA
FR,RB,NA,NA
BS,TH,1,2
BS,OS,1,2
BS,CV,1,3
BS,WP,1,3
BS,RA,1,3
BS,BG,1,3
BS,HJ,1,3
BS,FR,1,3
BS,VB,2,3
BS,MB,3,2
BS,ME,3,1
BS,JA,3,1
BS,ST,3,1
BS,DA,NA,NA
BS,AL,3,1
BS,DM,NA,NA
BS,GB,NA,NA
BS,VZ,NA,NA
BS,FM,NA,NA
BS,JK,NA,NA
BS,TB,NA,NA
BS,KC,NA,NA
BS,PF,NA,NA
BS,RB,2,3
VB,TH,6,3
VB,OS,6,2
VB,CV,6,3
VB,WP,6,3
VB,RA,6,2
VB,BG,6,2
VB,HJ,6,2
VB,FR,6,2
VB,BS,6,2
VB,MB,3,3
VB,ME,3,2
VB,JA,3,2
VB,ST,3,2
VB,DA,NA,NA
VB,AL,3,2
VB,DM,NA,NA
VB,GB,4,1
VB,VZ,4,1
VB,FM,4,1
VB,JK,4,1
VB,TB,4,1
VB,KC,NA,NA
VB,PF,NA,NA
VB,RB,NA,NA
MB,TH,NA,NA
MB,OS,NA,NA
MB,CV,NA,NA
MB,WP,NA,NA
MB,RA,NA,NA
MB,BG,NA,NA
MB,HJ,NA,NA
MB,FR,NA,NA
MB,BS,NA,NA
MB,VB,3,3
MB,ME,3,3
MB,JA,5,1
MB,ST,5,1
MB,DA,3,3
MB,AL,5,1
MB,DM,3,3
MB,GB,NA,NA
MB,VZ,NA,NA
MB,FM,NA,NA
MB,JK,NA,NA
MB,TB,NA,NA
MB,KC,NA,NA
MB,PF,NA,NA
MB,RB,NA,NA
ME,TH,NA,NA
ME,OS,NA,NA
ME,CV,NA,NA
ME,WP,NA,NA
ME,RA,NA,NA
ME,BG,NA,NA
ME,HJ,NA,NA
ME,FR,NA,NA
ME,BS,NA,NA
ME,VB,3,3
ME,MB,3,3
ME,JA,5,1
ME,ST,5,1
ME,DA,3,3
ME,AL,5,1
ME,DM,3,3
ME,GB,NA,NA
ME,VZ,NA,NA
ME,FM,NA,NA
ME,JK,NA,NA
ME,TB,NA,NA
ME,KC,NA,NA
ME,PF,NA,NA
ME,RB,NA,NA
JA,TH,NA,NA
JA,OS,NA,NA
JA,CV,NA,NA
JA,WP,NA,NA
JA,RA,NA,NA
JA,BG,NA,NA
JA,HJ,NA,NA
JA,FR,NA,NA
JA,BS,NA,NA
JA,VB,3,3
JA,MB,5,3
JA,ME,5,2
JA,ST,5,1
JA,DA,NA,NA
JA,AL,5,1
JA,DM,NA,NA
JA,GB,NA,NA
JA,VZ,NA,NA
JA,FM,NA,NA
JA,JK,NA,NA
JA,TB,NA,NA
JA,KC,NA,NA
JA,PF,NA,NA
JA,RB,NA,NA
ST,TH,NA,NA
ST,OS,NA,NA
ST,CV,NA,NA
