id,name,function,sex,power,age,education,type,partnership,representation,position
TH,Thomas Hitzlsperger,1,1,3,38,0,0,NA,1,3
OS,Oliver Schraft,1,1,1,53,2,0,NA,4,1
CV,Claus Vogt,2,1,3,51,2,0,NA,1,3
WP,Wilfried Porth,2,1,2,62,2,0,NA,1,2
RA,Rainer Adrion,2,1,1,67,2,0,NA,2,1
BG,Dr Bernd Gaiser,2,1,1,59,3,0,NA,2,1
HJ,Hartmut Jenner,2,1,1,55,2,0,NA,2,2
FR,Franz Reiner,2,1,1,53,2,0,NA,3,1
BS,Dr Bertram Sugg,2,1,1,55,3,0,NA,3,1
VB,VfB,NA,NA,3,NA,NA,1,NA,NA,NA
MB,Mercedes Benz Bank,NA,NA,3,NA,NA,1,4,NA,NA
ME,Mercedes Benz,NA,NA,2,NA,NA,1,2,NA,NA
JA,Jako,NA,NA,2,NA,NA,1,2,NA,NA
ST,Stuttgarter Hofbraeu,NA,NA,1,NA,NA,1,1,NA,NA
DA,Daimler AG,NA,NA,1,NA,NA,1,NA,NA,NA
AL,Alfred Kaercher ,NA,NA,1,NA,NA,1,1,NA,NA
DM,Daimler Mobility AG,NA,NA,1,NA,NA,1,NA,NA,NA
GB,Guido Buchwald,NA,1,0,60,0,0,NA,NA,NA
VZ,Volker Zeh,NA,1,0,56,1,0,NA,NA,NA
FM,Friedhild Miller,NA,2,0,52,2,0,NA,NA,NA
JK,Juergen Klinsmann,NA,1,0,56,2,0,NA,NA,NA
TB,Thomas Berthold,NA,1,0,56,0,0,NA,NA,NA
KC,Kommission Clubmedien DFL,NA,NA,1,NA,NA,1,NA,NA,NA
PF,FC PlayFair,NA,NA,1,NA,NA,1,NA,NA,NA
RB,Robert Bosch GmbH,NA,NA,1,NA,NA,1,NA,NA,NA
